user_course_id,user_id,course_id,status,progress,enrolled_at,completed_at,score
1,2,880202,assigned,100.0,2024-02-13 18:48:39,2024-02-25 18:48:39,79.0
2,2,1145736,assigned,100.0,2023-11-21 07:10:11,2024-02-17 07:10:11,91.0
3,2,1046722,undertaken,100.0,2024-03-29 17:06:36,2024-05-29 17:06:36,99.0
4,66,149728,assigned,100.0,2023-12-01 16:41:00,2024-01-17 16:41:00,69.0
5,66,640496,assigned,100.0,2024-10-01 03:38:48,2024-10-16 03:38:48,67.0
6,66,961630,undertaken,100.0,2024-01-31 15:18:13,2024-04-30 15:18:13,55.0
7,54,1006314,assigned,100.0,2024-05-29 03:22:06,2024-08-27 03:22:06,100.0
8,54,192870,undertaken,100.0,2024-04-09 03:41:48,2024-05-05 03:41:48,83.0
9,54,476268,undertaken,100.0,2023-12-06 10:56:15,2024-03-04 10:56:15,97.0
10,37,1048302,assigned,100.0,2023-10-19 03:20:05,2024-01-08 03:20:05,85.0
11,37,149728,assigned,100.0,2024-09-06 10:42:20,2024-12-13 10:42:20,82.0
12,37,195576,undertaken,100.0,2023-10-31 10:54:55,2023-12-04 10:54:55,61.0
13,56,1070968,assigned,100.0,2024-05-02 04:52:59,2024-07-01 04:52:59,85.0
14,56,1196544,assigned,100.0,2024-07-31 00:03:32,2024-09-20 00:03:32,59.0
15,56,1210588,undertaken,100.0,2024-01-26 20:53:05,2024-03-06 20:53:05,82.0
16,90,661814,assigned,100.0,2024-06-10 14:41:24,2024-08-05 14:41:24,84.0
17,90,195576,assigned,100.0,2024-04-17 09:53:58,2024-05-27 09:53:58,92.0
18,90,560662,undertaken,100.0,2024-09-16 14:24:32,2024-10-12 14:24:32,54.0
19,64,595876,undertaken,100.0,2024-10-06 06:11:11,2024-11-09 06:11:11,70.0
20,64,820194,assigned,100.0,2023-10-31 08:42:28,2023-12-14 08:42:28,72.0
22,21,1046722,assigned,100.0,2024-08-06 10:42:41,2024-11-02 10:42:41,62.0
23,21,749542,undertaken,100.0,2024-09-19 23:50:20,2024-11-22 23:50:20,66.0
24,21,820194,assigned,100.0,2024-02-24 07:45:52,2024-02-29 07:45:52,82.0
25,96,403100,undertaken,100.0,2024-04-01 01:47:03,2024-04-18 01:47:03,65.0
26,96,58977,undertaken,100.0,2024-01-19 23:47:07,2024-02-25 23:47:07,63.0
27,96,504036,assigned,100.0,2024-09-27 15:39:17,2025-01-02 15:39:17,75.0
28,23,1196544,undertaken,100.0,2024-05-17 21:06:54,2024-08-08 21:06:54,68.0
29,23,742602,assigned,100.0,2024-02-14 07:28:14,2024-02-22 07:28:14,96.0
31,63,62721,undertaken,100.0,2024-09-11 01:00:48,2024-10-07 01:00:48,56.0
32,63,1046722,undertaken,100.0,2024-03-07 17:06:39,2024-03-21 17:06:39,88.0
34,7,739964,assigned,100.0,2023-11-19 17:05:35,2023-12-22 17:05:35,83.0
36,7,1210588,assigned,100.0,2024-01-20 21:10:09,2024-03-12 21:10:09,60.0
37,16,729464,undertaken,100.0,2024-02-26 19:31:12,2024-04-24 19:31:12,88.0
38,16,1257976,assigned,100.0,2024-06-13 01:55:31,2024-08-23 01:55:31,57.0
39,16,837722,assigned,100.0,2024-01-09 23:38:59,2024-04-06 23:38:59,89.0
40,83,889438,undertaken,100.0,2024-03-17 02:29:36,2024-05-16 02:29:36,65.0
41,83,19603,assigned,100.0,2023-11-23 18:13:36,2023-11-24 18:13:36,98.0
42,83,1094964,undertaken,100.0,2024-06-04 02:41:36,2024-06-30 02:41:36,92.0
43,14,504036,assigned,100.0,2024-02-27 16:58:45,2024-04-07 16:58:45,69.0
44,14,606928,undertaken,100.0,2024-09-05 12:04:25,2024-10-28 12:04:25,96.0
45,14,794151,undertaken,100.0,2024-02-15 03:23:33,2024-04-12 03:23:33,87.0
46,44,1181578,assigned,100.0,2024-03-07 08:13:32,2024-05-01 08:13:32,97.0
47,44,1046722,undertaken,100.0,2024-07-01 05:47:58,2024-10-06 05:47:58,73.0
48,44,1261122,assigned,100.0,2024-05-25 06:22:37,2024-06-04 06:22:37,76.0
49,95,742602,undertaken,100.0,2024-05-03 09:59:48,2024-06-10 09:59:48,54.0
50,95,58977,assigned,100.0,2023-10-10 15:24:40,2024-01-04 15:24:40,84.0
51,95,564966,undertaken,100.0,2023-11-10 05:21:23,2024-02-11 05:21:23,86.0
52,1,544234,undertaken,100.0,2023-11-01 11:07:38,2023-11-11 11:07:38,51.0
53,1,1257976,assigned,100.0,2024-01-17 20:26:50,2024-03-27 20:26:50,98.0
54,1,195576,undertaken,100.0,2023-10-20 13:26:29,2023-12-02 13:26:29,89.0
55,49,820194,assigned,100.0,2024-02-05 15:42:36,2024-04-28 15:42:36,85.0
57,49,749542,assigned,100.0,2024-07-09 17:11:51,2024-09-13 17:11:51,70.0
58,12,661814,undertaken,100.0,2024-01-12 04:13:39,2024-02-24 04:13:39,60.0
59,12,837722,undertaken,100.0,2024-07-19 22:03:24,2024-10-02 22:03:24,80.0
60,12,1253224,assigned,100.0,2024-06-26 02:34:38,2024-07-05 02:34:38,93.0
61,36,1261122,undertaken,100.0,2024-02-05 12:08:12,2024-02-28 12:08:12,94.0
62,36,1181578,undertaken,100.0,2024-05-11 13:37:16,2024-08-16 13:37:16,72.0
63,36,1117796,undertaken,100.0,2023-12-13 10:13:21,2024-01-19 10:13:21,73.0
64,40,1070968,undertaken,100.0,2024-05-25 20:43:40,2024-05-28 20:43:40,84.0
65,40,403100,undertaken,100.0,2024-05-01 01:54:06,2024-07-17 01:54:06,74.0
66,40,564966,assigned,100.0,2024-01-29 11:51:30,2024-03-11 11:51:30,50.0
67,100,592338,assigned,100.0,2024-09-19 06:06:11,2024-12-07 06:06:11,93.0
68,100,739964,assigned,100.0,2023-10-23 06:17:29,2023-12-14 06:17:29,78.0
69,100,1070968,undertaken,100.0,2023-11-21 21:28:25,2024-02-10 21:28:25,68.0
70,72,564966,undertaken,100.0,2024-01-27 16:14:26,2024-03-14 16:14:26,96.0
71,72,1113822,undertaken,100.0,2023-10-31 22:56:21,2023-11-30 22:56:21,59.0
72,72,739964,undertaken,100.0,2024-02-03 04:25:13,2024-03-09 04:25:13,56.0
73,87,8325,undertaken,100.0,2023-11-09 01:34:31,2024-02-03 01:34:31,71.0
74,87,1146014,assigned,100.0,2024-09-26 15:06:32,2024-11-25 15:06:32,87.0
75,87,1094964,undertaken,100.0,2024-04-02 23:06:50,2024-06-03 23:06:50,77.0
76,43,965870,assigned,100.0,2024-07-07 08:45:38,2024-07-18 08:45:38,93.0
77,43,1078208,undertaken,100.0,2024-03-30 22:54:24,2024-04-26 22:54:24,97.0
78,43,159070,assigned,100.0,2024-05-19 16:32:59,2024-07-10 16:32:59,88.0
79,46,544234,assigned,100.0,2024-07-20 10:59:34,2024-10-06 10:59:34,51.0
80,46,640496,assigned,100.0,2024-09-21 20:42:13,2024-11-18 20:42:13,51.0
81,46,455054,assigned,100.0,2024-07-08 14:30:32,2024-09-22 14:30:32,55.0
82,58,455054,assigned,100.0,2023-12-31 15:26:46,2024-02-26 15:26:46,70.0
83,58,837722,undertaken,100.0,2024-03-19 20:36:39,2024-04-05 20:36:39,94.0
84,58,560662,undertaken,100.0,2023-10-23 23:46:52,2023-12-28 23:46:52,97.0
85,19,961630,assigned,100.0,2023-12-14 14:39:39,2024-02-05 14:39:39,87.0
86,19,643970,assigned,100.0,2024-01-20 14:57:32,2024-03-18 14:57:32,98.0
88,26,317278,assigned,100.0,2024-02-13 14:44:55,2024-05-14 14:44:55,55.0
89,26,1197206,assigned,100.0,2024-02-27 17:11:23,2024-04-20 17:11:23,55.0
90,26,1181578,undertaken,100.0,2024-04-15 01:30:19,2024-06-13 01:30:19,79.0
91,28,739964,assigned,100.0,2024-01-04 20:11:44,2024-01-14 20:11:44,83.0
93,28,1210588,assigned,100.0,2024-03-14 08:39:45,2024-05-14 08:39:45,78.0
94,52,640496,assigned,100.0,2023-11-30 07:54:27,2024-03-04 07:54:27,83.0
95,52,1257976,assigned,100.0,2024-09-13 18:28:51,2024-10-01 18:28:51,81.0
96,52,149728,assigned,100.0,2024-04-01 22:18:22,2024-04-23 22:18:22,82.0
97,17,94428,undertaken,100.0,2024-02-09 13:00:09,2024-04-11 13:00:09,88.0
98,17,1086834,assigned,100.0,2024-01-01 03:49:14,2024-03-29 03:49:14,55.0
99,17,16646,undertaken,100.0,2024-09-08 11:59:45,2024-10-23 11:59:45,88.0
100,22,1089744,assigned,100.0,2023-10-22 21:44:27,2023-11-27 21:44:27,52.0
102,22,1094964,assigned,100.0,2024-04-02 11:54:06,2024-04-14 11:54:06,99.0
103,73,920306,assigned,100.0,2024-08-22 18:04:48,2024-08-28 18:04:48,84.0
104,73,642410,undertaken,100.0,2023-11-27 15:10:01,2024-01-27 15:10:01,73.0
105,73,16646,undertaken,100.0,2024-08-16 00:17:23,2024-09-12 00:17:23,65.0
106,39,1257976,assigned,100.0,2024-06-05 14:23:09,2024-08-08 14:23:09,95.0
107,39,560662,undertaken,100.0,2024-01-15 23:14:23,2024-03-06 23:14:23,57.0
108,39,661814,assigned,100.0,2024-07-20 12:13:34,2024-08-13 12:13:34,65.0
109,62,1200374,undertaken,100.0,2023-10-16 07:26:36,2023-11-18 07:26:36,71.0
110,62,149728,assigned,100.0,2024-07-28 19:45:17,2024-08-14 19:45:17,73.0
111,62,643970,undertaken,100.0,2024-06-20 08:05:23,2024-08-14 08:05:23,83.0
112,10,192870,undertaken,100.0,2024-09-04 10:20:12,2024-09-09 10:20:12,93.0
113,10,1011058,undertaken,100.0,2024-04-05 06:57:56,2024-04-15 06:57:56,60.0
114,10,504036,assigned,100.0,2024-03-10 01:02:44,2024-04-11 01:02:44,61.0
115,35,62721,assigned,100.0,2024-07-17 21:01:42,2024-09-01 21:01:42,84.0
116,35,590794,undertaken,100.0,2024-06-02 21:09:38,2024-07-16 21:09:38,91.0
117,35,1046722,assigned,100.0,2024-04-30 01:49:35,2024-07-19 01:49:35,71.0
118,94,661814,assigned,100.0,2024-07-16 08:05:26,2024-09-29 08:05:26,62.0
119,94,961630,undertaken,100.0,2023-10-16 10:57:55,2024-01-19 10:57:55,62.0
121,8,920306,assigned,100.0,2024-06-27 07:49:51,2024-08-20 07:49:51,77.0
122,8,987064,undertaken,100.0,2023-11-15 00:44:48,2024-02-04 00:44:48,91.0
123,8,1146014,undertaken,100.0,2023-11-15 12:28:11,2024-02-15 12:28:11,50.0
124,24,696630,assigned,100.0,2023-10-30 00:41:27,2023-11-06 00:41:27,65.0
125,24,643970,undertaken,100.0,2024-03-02 18:30:46,2024-04-11 18:30:46,91.0
126,24,1048302,undertaken,100.0,2024-08-24 18:51:54,2024-09-11 18:51:54,55.0
127,84,874012,assigned,100.0,2024-05-02 14:11:34,2024-07-13 14:11:34,85.0
128,84,1216132,assigned,100.0,2024-04-10 07:30:05,2024-04-11 07:30:05,52.0
129,84,62721,undertaken,100.0,2024-06-04 10:52:58,2024-07-22 10:52:58,88.0
130,48,1261122,assigned,100.0,2024-03-08 05:17:32,2024-06-13 05:17:32,61.0
131,48,1046722,assigned,100.0,2023-12-16 12:01:53,2024-03-20 12:01:53,70.0
132,48,1117796,undertaken,100.0,2024-05-24 04:55:42,2024-08-03 04:55:42,52.0
133,3,719698,assigned,100.0,2023-11-24 16:04:04,2023-12-27 16:04:04,64.0
134,3,58977,undertaken,100.0,2024-01-08 15:30:17,2024-03-14 15:30:17,80.0
135,3,794151,assigned,100.0,2024-10-02 01:31:55,2024-11-06 01:31:55,79.0
136,4,749542,undertaken,100.0,2024-03-26 10:47:11,2024-04-25 10:47:11,82.0
137,4,590794,undertaken,100.0,2024-02-24 07:00:36,2024-03-15 07:00:36,59.0
138,4,573064,undertaken,100.0,2024-06-22 13:25:33,2024-07-02 13:25:33,74.0
139,32,590794,undertaken,100.0,2024-01-03 20:39:01,2024-02-25 20:39:01,83.0
140,32,573064,undertaken,100.0,2024-05-21 19:56:54,2024-07-18 19:56:54,98.0
141,32,1197206,undertaken,100.0,2024-09-27 05:15:11,2024-11-17 05:15:11,85.0
142,76,874012,undertaken,100.0,2024-03-07 13:12:59,2024-04-14 13:12:59,77.0
143,76,28556,undertaken,100.0,2024-07-20 16:35:51,2024-08-13 16:35:51,87.0
144,76,62721,assigned,100.0,2024-02-17 19:53:41,2024-04-08 19:53:41,92.0
145,55,920306,undertaken,100.0,2023-10-30 18:39:49,2024-01-29 18:39:49,55.0
146,55,1086834,undertaken,100.0,2024-01-19 05:06:49,2024-01-20 05:06:49,54.0
147,55,19603,undertaken,100.0,2024-05-17 11:27:01,2024-06-03 11:27:01,51.0
148,92,159070,undertaken,100.0,2024-08-05 04:36:19,2024-10-24 04:36:19,63.0
149,92,1078208,assigned,100.0,2024-07-31 05:23:32,2024-08-22 05:23:32,66.0
150,92,16646,assigned,100.0,2024-07-26 11:54:59,2024-08-20 11:54:59,68.0
151,85,920306,undertaken,100.0,2024-04-18 18:12:28,2024-05-03 18:12:28,63.0
152,85,1086834,undertaken,100.0,2024-07-09 01:11:42,2024-07-18 01:11:42,96.0
153,85,94428,undertaken,100.0,2024-07-05 15:03:10,2024-07-10 15:03:10,79.0
154,27,476268,undertaken,100.0,2024-06-06 15:03:13,2024-08-04 15:03:13,92.0
155,27,592338,assigned,100.0,2024-02-20 04:40:06,2024-04-27 04:40:06,72.0
156,27,794151,assigned,100.0,2024-04-21 22:45:43,2024-05-30 22:45:43,76.0
157,15,961630,undertaken,100.0,2024-07-31 02:54:32,2024-08-30 02:54:32,58.0
158,15,837722,assigned,100.0,2023-12-29 09:56:33,2024-02-03 09:56:33,55.0
